date,year,month,day_of_week,day_name,season,location,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,rainfall_mm,aqi,aqi_category
2018-01-26,2018,1,4,Friday,Wet,Bhunya,11.85,22.45,10.3,0.32,4.43,39.56,22.8,78.7,3.5,1.52,49,Moderate
2018-01-27,2018,1,5,Saturday,Wet,Bhunya,7.39,13.3,9.53,0.247,3.45,41.08,21.8,76.6,4.3,2.55,31,Good
2018-01-28,2018,1,6,Sunday,Wet,Bhunya,7.87,15.01,8.98,0.339,3.76,37.59,21.8,71.1,5.3,1.82,33,Good
2018-01-29,2018,1,0,Monday,Wet,Bhunya,10.16,18.52,9.42,0.361,5.95,45.14,33.0,75.4,4.9,3.81,42,Moderate
2018-01-30,2018,1,1,Tuesday,Wet,Bhunya,9.94,19.18,9.13,0.331,4.74,39.06,26.6,59.5,4.6,6.9,41,Good
2018-01-31,2018,1,2,Wednesday,Wet,Bhunya,8.47,15.56,12.08,0.431,4.56,41.59,26.9,73.7,5.0,8.67,35,Good
2018-02-01,2018,2,3,Thursday,Wet,Bhunya,7.79,14.43,10.24,0.297,3.98,44.45,24.4,83.4,5.3,13.08,32,Good
2018-02-02,2018,2,4,Friday,Wet,Bhunya,11.36,19.96,10.11,0.415,4.43,39.46,32.0,79.9,4.5,0.13,47,Moderate
2018-02-03,2018,2,5,Saturday,Wet,Bhunya,4.92,9.54,8.67,0.233,3.35,36.51,29.9,75.2,6.2,8.31,20,Good
2018-02-04,2018,2,6,Sunday,Wet,Bhunya,4.24,6.68,9.11,0.259,3.22,41.71,18.2,68.8,5.4,20.7,18,Good
2018-02-05,2018,2,0,Monday,Wet,Bhunya,9.8,16.82,11.02,0.394,3.94,37.96,31.4,94.3,5.2,1.99,41,Good
2018-02-06,2018,2,1,Tuesday,Wet,Bhunya,10.19,18.92,10.91,0.332,5.19,39.97,22.4,72.7,3.2,7.99,42,Moderate
2018-02-07,2018,2,2,Wednesday,Wet,Bhunya,9.3,17.77,11.13,0.31,3.42,39.21,26.0,74.1,2.9,6.1,39,Good
2018-02-08,2018,2,3,Thursday,Wet,Bhunya,7.88,16.27,10.69,0.339,4.81,37.94,30.0,62.6,4.3,10.74,33,Good
2018-02-09,2018,2,4,Friday,Wet,Bhunya,8.56,16.96,10.99,0.346,3.8,44.43,25.3,81.2,5.4,3.85,36,Good
2018-02-10,2018,2,5,Saturday,Wet,Bhunya,7.49,14.08,8.35,0.29,2.9,37.88,26.8,70.7,2.6,2.3,31,Good
2018-02-11,2018,2,6,Sunday,Wet,Bhunya,7.17,13.29,7.46,0.272,3.91,37.31,27.2,61.4,5.5,0.02,30,Good
2018-02-12,2018,2,0,Monday,Wet,Bhunya,10.33,20.94,11.85,0.359,4.64,33.82,26.4,65.9,3.1,4.94,43,Moderate
2018-02-13,2018,2,1,Tuesday,Wet,Bhunya,4.86,9.21,10.89,0.375,4.85,40.83,26.9,64.6,4.6,23.71,20,Good
2018-02-14,2018,2,2,Wednesday,Wet,Bhunya,6.61,13.2,9.92,0.324,5.41,36.06,22.5,69.1,6.1,11.04,28,Good
2018-02-15,2018,2,3,Thursday,Wet,Bhunya,10.64,19.14,11.74,0.295,4.78,40.04,22.2,79.8,4.2,5.54,44,Moderate
2018-02-16,2018,2,4,Friday,Wet,Bhunya,12.8,24.88,11.17,0.367,4.56,34.15,32.8,71.0,3.4,1.62,52,Moderate
2018-02-17,2018,2,5,Saturday,Wet,Bhunya,6.39,10.15,10.26,0.252,3.55,39.67,19.2,84.7,6.6,7.25,27,Good
2018-02-18,2018,2,6,Sunday,Wet,Bhunya,5.86,10.19,9.52,0.279,3.77,44.52,28.0,70.2,4.7,9.96,24,Good
2018-02-19,2018,2,0,Monday,Wet,Bhunya,7.9,15.39,11.14,0.443,4.0,40.15,30.3,67.2,4.6,8.67,33,Good
2018-02-20,2018,2,1,Tuesday,Wet,Bhunya,7.05,13.38,11.34,0.315,2.99,39.43,27.8,84.6,4.9,12.06,29,Good
2018-02-21,2018,2,2,Wednesday,Wet,Bhunya,9.44,18.17,12.64,0.325,4.87,42.88,26.3,70.3,4.4,1.15,39,Good
2018-02-22,2018,2,3,Thursday,Wet,Bhunya,5.94,10.52,9.99,0.371,4.84,39.09,25.4,68.0,5.5,23.35,25,Good
2018-02-23,2018,2,4,Friday,Wet,Bhunya,9.76,17.59,10.43,0.325,4.31,46.2,30.5,75.0,5.1,3.61,41,Good
2018-02-24,2018,2,5,Saturday,Wet,Bhunya,8.49,12.58,7.72,0.318,3.75,38.76,28.3,85.6,4.6,1.48,35,Good
2018-02-25,2018,2,6,Sunday,Wet,Bhunya,7.42,14.32,7.43,0.283,4.05,41.89,29.9,82.6,5.8,7.14,31,Good
2018-02-26,2018,2,0,Monday,Wet,Bhunya,10.01,18.16,9.66,0.338,5.13,42.67,29.3,52.0,4.1,3.08,42,Moderate
2018-02-27,2018,2,1,Tuesday,Wet,Bhunya,11.65,20.86,10.08,0.318,4.88,40.65,25.8,74.1,4.7,0.59,49,Moderate
2018-02-28,2018,2,2,Wednesday,Wet,Bhunya,9.58,18.83,11.93,0.348,3.91,38.83,30.2,59.4,4.2,3.04,40,Good
2018-03-01,2018,3,3,Thursday,Wet,Bhunya,9.86,19.39,15.99,0.4,4.73,41.96,28.6,67.6,5.9,7.56,41,Good
2018-03-02,2018,3,4,Friday,Wet,Bhunya,12.54,26.5,12.72,0.432,4.85,35.29,27.9,69.0,5.8,0.19,52,Moderate
2018-03-03,2018,3,5,Saturday,Wet,Bhunya,5.94,11.01,8.51,0.312,4.43,37.76,24.8,79.0,7.7,3.8,25,Good
2018-03-04,2018,3,6,Sunday,Wet,Bhunya,10.12,18.15,10.18,0.351,4.39,42.44,31.1,70.0,4.4,1.04,42,Moderate
2018-03-05,2018,3,0,Monday,Wet,Bhunya,12.34,24.61,14.62,0.365,5.26,46.66,20.5,68.2,4.3,0.22,52,Moderate
2018-03-06,2018,3,1,Tuesday,Wet,Bhunya,8.75,17.33,12.01,0.392,5.34,43.27,29.7,62.5,6.4,1.82,36,Good
2018-03-07,2018,3,2,Wednesday,Wet,Bhunya,13.2,23.66,14.26,0.439,5.44,37.04,30.2,73.6,4.9,0.33,53,Moderate
2018-03-08,2018,3,3,Thursday,Wet,Bhunya,12.28,22.03,9.05,0.38,4.53,37.31,32.3,67.9,4.8,3.14,51,Moderate
2018-03-09,2018,3,4,Friday,Wet,Bhunya,9.53,16.97,12.75,0.443,4.48,36.25,31.4,72.2,5.9,3.94,40,Good
2018-03-10,2018,3,5,Saturday,Wet,Bhunya,8.49,14.93,10.59,0.315,3.9,45.54,30.1,72.6,6.7,0.57,35,Good
2018-03-11,2018,3,6,Sunday,Wet,Bhunya,9.84,19.46,9.24,0.364,3.41,44.45,27.4,64.4,4.4,1.26,41,Good
2018-03-12,2018,3,0,Monday,Wet,Bhunya,9.08,17.55,13.49,0.422,4.49,44.34,29.9,76.0,3.7,8.59,38,Good
2018-03-13,2018,3,1,Tuesday,Wet,Bhunya,10.64,19.86,9.81,0.383,6.63,38.27,25.0,66.3,3.7,3.57,44,Moderate
2018-03-14,2018,3,2,Wednesday,Wet,Bhunya,9.66,18.96,13.75,0.456,5.55,37.5,32.1,60.8,4.4,6.3,40,Good
2018-03-15,2018,3,3,Thursday,Wet,Bhunya,13.75,25.14,12.82,0.402,6.46,41.73,27.5,71.3,3.1,6.67,54,Moderate
2018-03-16,2018,3,4,Friday,Wet,Bhunya,11.63,22.67,9.88,0.439,4.18,35.45,28.8,66.9,3.3,2.74,48,Moderate
2018-03-17,2018,3,5,Saturday,Wet,Bhunya,8.27,15.66,11.72,0.307,3.9,46.44,27.9,85.5,5.1,3.77,34,Good
2018-03-18,2018,3,6,Sunday,Wet,Bhunya,7.96,13.4,10.12,0.329,3.93,41.58,20.8,68.2,3.6,2.85,33,Good
2018-03-19,2018,3,0,Monday,Wet,Bhunya,12.82,24.07,12.82,0.474,4.98,40.0,30.1,80.0,5.0,1.48,53,Moderate
2018-03-20,2018,3,1,Tuesday,Wet,Bhunya,11.54,23.03,11.38,0.331,5.34,41.32,26.1,58.7,2.5,2.33,48,Moderate
2018-03-21,2018,3,2,Wednesday,Wet,Bhunya,11.48,23.29,11.96,0.335,5.44,43.96,24.3,87.8,5.5,1.72,48,Moderate
2018-03-22,2018,3,3,Thursday,Wet,Bhunya,10.23,17.11,13.06,0.465,4.68,37.46,29.5,53.6,4.0,7.59,43,Moderate
2018-03-23,2018,3,4,Friday,Wet,Bhunya,13.07,23.44,12.85,0.413,4.18,43.83,28.9,80.1,2.6,1.9,53,Moderate
2018-03-24,2018,3,5,Saturday,Wet,Bhunya,8.69,17.26,10.49,0.303,3.75,43.35,24.9,77.6,2.0,12.88,36,Good
2018-03-25,2018,3,6,Sunday,Wet,Bhunya,16.56,32.58,10.38,0.291,4.23,40.16,27.1,57.1,6.5,7.81,60,Moderate
2018-03-26,2018,3,0,Monday,Wet,Bhunya,14.17,26.84,13.6,0.391,5.41,39.15,25.3,78.6,4.8,1.3,55,Moderate
2018-03-27,2018,3,1,Tuesday,Wet,Bhunya,9.88,19.94,12.42,0.465,5.2,41.47,28.1,72.0,6.0,2.89,41,Good
2018-03-28,2018,3,2,Wednesday,Wet,Bhunya,12.0,24.09,15.52,0.431,4.32,44.61,20.6,77.8,3.4,3.0,50,Moderate
2018-03-29,2018,3,3,Thursday,Wet,Bhunya,11.8,23.38,12.0,0.418,5.78,40.05,24.4,81.2,5.5,1.67,49,Moderate
2018-03-30,2018,3,4,Friday,Wet,Bhunya,11.38,21.45,13.78,0.446,4.8,43.08,23.9,100.0,3.1,10.49,47,Moderate
2018-03-31,2018,3,5,Saturday,Wet,Bhunya,9.9,17.63,8.79,0.341,3.89,41.41,20.8,75.6,3.8,2.21,41,Good
2018-04-01,2018,4,6,Sunday,Wet,Bhunya,10.82,19.3,9.09,0.296,4.19,27.19,25.5,71.5,4.0,1.5,45,Moderate
2018-04-02,2018,4,0,Monday,Wet,Bhunya,12.27,18.72,11.92,0.398,4.66,24.14,25.0,59.1,4.8,1.46,51,Moderate
2018-04-03,2018,4,1,Tuesday,Wet,Bhunya,11.41,20.91,13.45,0.428,4.88,26.71,19.4,41.1,4.9,0.46,48,Moderate
2018-04-04,2018,4,2,Wednesday,Wet,Bhunya,12.76,23.74,12.08,0.412,4.87,27.19,21.9,58.2,4.1,0.44,52,Moderate
2018-04-05,2018,4,3,Thursday,Wet,Bhunya,11.72,21.07,13.31,0.412,5.59,26.69,20.7,69.3,4.1,0.09,49,Moderate
2018-04-06,2018,4,4,Friday,Wet,Bhunya,10.79,19.46,10.93,0.377,5.19,28.74,22.1,51.9,4.9,3.01,45,Moderate
2018-04-07,2018,4,5,Saturday,Wet,Bhunya,9.87,18.15,10.33,0.299,4.32,21.99,22.7,67.8,5.2,0.84,41,Good
2018-04-08,2018,4,6,Sunday,Wet,Bhunya,14.5,29.79,9.58,0.345,3.45,28.16,19.9,59.0,1.9,0.08,56,Moderate
2018-04-09,2018,4,0,Monday,Wet,Bhunya,14.83,29.16,14.7,0.417,5.42,27.59,21.4,75.1,3.2,0.67,57,Moderate
2018-04-10,2018,4,1,Tuesday,Wet,Bhunya,14.51,25.25,11.14,0.355,5.97,26.89,23.3,75.6,4.5,0.49,56,Moderate
2018-04-11,2018,4,2,Wednesday,Wet,Bhunya,11.8,23.72,12.36,0.38,4.75,27.56,19.8,46.0,7.0,1.07,49,Moderate
2018-04-12,2018,4,3,Thursday,Wet,Bhunya,12.11,23.7,12.24,0.447,5.05,28.84,23.8,75.9,2.9,0.52,51,Moderate
2018-04-13,2018,4,4,Friday,Wet,Bhunya,13.22,24.2,13.25,0.384,4.63,24.71,19.7,57.4,2.6,0.94,53,Moderate
2018-04-14,2018,4,5,Saturday,Wet,Bhunya,10.23,18.7,12.68,0.29,4.39,27.47,24.9,49.8,3.8,1.28,43,Moderate
2018-04-15,2018,4,6,Sunday,Wet,Bhunya,9.51,16.75,9.83,0.297,4.52,26.19,22.3,52.7,4.4,0.07,40,Good
2018-04-16,2018,4,0,Monday,Wet,Bhunya,11.01,19.45,12.52,0.375,4.39,25.26,19.5,59.1,3.8,0.65,46,Moderate
2018-04-17,2018,4,1,Tuesday,Wet,Bhunya,11.91,22.86,11.86,0.415,4.7,28.59,25.3,60.3,3.5,0.06,50,Moderate
2018-04-18,2018,4,2,Wednesday,Wet,Bhunya,11.97,22.97,11.71,0.407,5.35,30.39,21.0,56.6,5.0,0.43,50,Moderate
2018-04-19,2018,4,3,Thursday,Wet,Bhunya,12.13,22.61,15.0,0.424,5.39,29.65,21.9,62.8,5.1,0.2,51,Moderate
2018-04-20,2018,4,4,Friday,Wet,Bhunya,13.03,21.5,14.23,0.476,5.53,23.58,28.2,69.2,3.6,0.76,53,Moderate
2018-04-21,2018,4,5,Saturday,Wet,Bhunya,11.79,21.49,9.43,0.353,4.82,31.31,23.7,61.3,2.2,1.28,49,Moderate
2018-04-22,2018,4,6,Sunday,Wet,Bhunya,6.94,12.96,9.36,0.333,4.51,28.57,21.9,56.6,8.8,1.46,29,Good
2018-04-23,2018,4,0,Monday,Wet,Bhunya,15.03,29.96,10.67,0.485,4.54,29.26,23.5,57.8,3.3,0.94,57,Moderate
2018-04-24,2018,4,1,Tuesday,Wet,Bhunya,12.98,23.46,13.76,0.431,5.53,32.52,21.2,40.6,4.5,1.24,53,Moderate
2018-04-25,2018,4,2,Wednesday,Wet,Bhunya,13.21,26.76,13.73,0.52,4.43,24.63,26.0,81.4,3.2,0.66,53,Moderate
2018-04-26,2018,4,3,Thursday,Wet,Bhunya,13.22,27.71,9.96,0.368,5.6,26.01,22.2,50.4,3.4,0.55,53,Moderate
2018-04-27,2018,4,4,Friday,Wet,Bhunya,13.79,26.15,11.5,0.428,5.11,26.36,17.5,76.2,4.5,0.15,55,Moderate
2018-04-28,2018,4,5,Saturday,Wet,Bhunya,7.61,14.55,11.09,0.285,4.4,29.41,25.0,54.8,6.2,3.61,32,Good
2018-04-29,2018,4,6,Sunday,Wet,Bhunya,8.6,16.18,9.45,0.333,3.84,25.09,23.4,49.4,5.2,2.19,36,Good
2018-04-30,2018,4,0,Monday,Wet,Bhunya,13.02,25.49,13.54,0.44,5.84,25.75,22.5,66.4,3.4,0.65,53,Moderate
2018-05-01,2018,5,1,Tuesday,Dry,Bhunya,17.63,35.46,14.58,0.61,7.4,29.51,19.7,61.6,4.0,0.14,63,Moderate
2018-05-02,2018,5,2,Wednesday,Dry,Bhunya,15.99,28.21,20.14,0.543,7.86,26.96,15.3,47.9,3.0,0.11,59,Moderate
2018-05-03,2018,5,3,Thursday,Dry,Bhunya,21.31,42.85,13.8,0.62,6.13,28.57,24.6,62.5,2.2,0.04,70,Moderate
2018-05-04,2018,5,4,Friday,Dry,Bhunya,18.99,37.08,20.0,0.588,6.88,24.36,15.0,60.5,3.0,0.25,65,Moderate
2018-05-05,2018,5,5,Saturday,Dry,Bhunya,17.36,30.16,12.83,0.496,6.47,27.65,25.4,62.7,2.8,0.0,62,Moderate
2018-05-06,2018,5,6,Sunday,Dry,Bhunya,16.63,26.4,12.71,0.349,6.42,26.17,27.8,54.8,3.1,0.56,61,Moderate
2018-05-07,2018,5,0,Monday,Dry,Bhunya,17.69,32.0,17.22,0.533,7.21,22.8,22.6,59.3,3.2,0.4,63,Moderate
2018-05-08,2018,5,1,Tuesday,Dry,Bhunya,17.68,36.52,14.05,0.571,7.19,29.53,22.4,40.2,3.8,0.01,63,Moderate
2018-05-09,2018,5,2,Wednesday,Dry,Bhunya,16.4,28.62,17.0,0.598,6.33,26.46,18.1,60.4,2.9,0.03,60,Moderate
2018-05-10,2018,5,3,Thursday,Dry,Bhunya,18.03,32.97,16.32,0.567,5.9,26.35,21.6,41.3,4.3,0.39,63,Moderate
2018-05-11,2018,5,4,Friday,Dry,Bhunya,20.3,38.04,15.25,0.669,6.99,25.29,21.3,58.8,1.9,0.06,68,Moderate
2018-05-12,2018,5,5,Saturday,Dry,Bhunya,18.58,37.91,12.31,0.368,4.84,24.43,18.7,43.1,1.6,0.2,65,Moderate
2018-05-13,2018,5,6,Sunday,Dry,Bhunya,15.01,28.64,14.78,0.359,5.45,25.6,23.7,58.4,3.4,0.48,57,Moderate
2018-05-14,2018,5,0,Monday,Dry,Bhunya,14.05,27.95,14.85,0.618,7.11,30.23,19.0,59.6,2.9,0.41,55,Moderate
2018-05-15,2018,5,1,Tuesday,Dry,Bhunya,17.43,30.81,14.07,0.591,6.28,30.94,27.0,74.1,3.3,0.37,62,Moderate
2018-05-16,2018,5,2,Wednesday,Dry,Bhunya,17.49,33.39,17.43,0.62,5.56,29.91,15.3,59.2,4.3,0.46,62,Moderate
2018-05-17,2018,5,3,Thursday,Dry,Bhunya,16.68,31.36,15.29,0.494,7.72,28.66,20.6,44.9,3.4,1.09,61,Moderate
2018-05-18,2018,5,4,Friday,Dry,Bhunya,20.62,38.85,19.48,0.536,5.95,27.14,19.8,56.7,3.2,0.53,69,Moderate
2018-05-19,2018,5,5,Saturday,Dry,Bhunya,14.33,31.22,15.33,0.505,5.72,26.7,20.0,67.3,3.4,0.06,56,Moderate
2018-05-20,2018,5,6,Sunday,Dry,Bhunya,16.23,30.85,11.21,0.37,5.04,28.99,21.0,72.9,3.8,0.71,60,Moderate
2018-05-21,2018,5,0,Monday,Dry,Bhunya,17.22,36.31,17.37,0.574,6.46,27.08,22.7,77.6,4.9,0.24,62,Moderate
2018-05-22,2018,5,1,Tuesday,Dry,Bhunya,19.39,37.17,17.52,0.535,7.23,28.77,22.7,58.5,3.6,0.23,66,Moderate
2018-05-23,2018,5,2,Wednesday,Dry,Bhunya,18.25,32.45,15.02,0.451,7.17,29.06,28.4,56.7,3.1,0.27,64,Moderate
2018-05-24,2018,5,3,Thursday,Dry,Bhunya,22.43,43.92,18.82,0.645,5.96,26.92,26.4,57.6,1.7,0.25,73,Moderate
2018-05-25,2018,5,4,Friday,Dry,Bhunya,20.49,37.52,14.38,0.542,6.6,27.79,17.3,54.0,3.0,0.36,69,Moderate
2018-05-26,2018,5,5,Saturday,Dry,Bhunya,13.74,25.36,12.77,0.375,5.81,26.8,17.9,39.2,2.2,0.24,54,Moderate
2018-05-27,2018,5,6,Sunday,Dry,Bhunya,16.85,28.78,13.99,0.428,3.79,26.64,21.2,53.9,2.4,0.03,61,Moderate
2018-05-28,2018,5,0,Monday,Dry,Bhunya,17.51,34.73,17.03,0.577,8.43,26.01,21.6,66.1,3.3,0.1,62,Moderate
2018-05-29,2018,5,1,Tuesday,Dry,Bhunya,18.28,34.04,20.31,0.574,7.81,25.96,28.4,71.2,3.0,0.28,64,Moderate
2018-05-30,2018,5,2,Wednesday,Dry,Bhunya,23.29,46.18,17.54,0.463,7.59,26.93,21.0,65.7,2.3,0.1,75,Moderate
2018-05-31,2018,5,3,Thursday,Dry,Bhunya,23.38,46.66,17.38,0.686,8.42,27.96,14.1,66.0,0.4,0.37,75,Moderate
2018-06-01,2018,6,4,Friday,Dry,Bhunya,19.33,30.29,17.02,0.646,7.46,23.01,17.3,55.5,3.8,0.01,66,Moderate
2018-06-02,2018,6,5,Saturday,Dry,Bhunya,17.9,30.49,10.06,0.57,5.95,27.75,23.8,51.6,3.6,0.09,63,Moderate
2018-06-03,2018,6,6,Sunday,Dry,Bhunya,16.44,35.29,14.76,0.523,5.77,30.72,18.6,32.3,3.9,0.2,60,Moderate
2018-06-04,2018,6,0,Monday,Dry,Bhunya,19.67,36.32,17.85,0.769,6.35,29.06,16.8,35.6,3.2,0.08,67,Moderate
2018-06-05,2018,6,1,Tuesday,Dry,Bhunya,20.23,35.32,18.28,0.616,6.32,28.16,15.7,45.3,1.9,0.1,68,Moderate
2018-06-06,2018,6,2,Wednesday,Dry,Bhunya,19.62,39.98,19.76,0.707,5.77,27.31,16.7,44.7,3.0,0.0,67,Moderate
2018-06-07,2018,6,3,Thursday,Dry,Bhunya,17.61,30.35,14.54,0.736,7.18,29.14,20.1,59.0,2.2,0.05,63,Moderate
2018-06-08,2018,6,4,Friday,Dry,Bhunya,18.2,31.2,20.15,0.603,8.52,25.14,18.8,48.3,3.2,0.05,64,Moderate
2018-06-09,2018,6,5,Saturday,Dry,Bhunya,13.13,24.76,12.58,0.452,5.18,26.26,18.0,34.1,3.6,0.01,53,Moderate
2018-06-10,2018,6,6,Sunday,Dry,Bhunya,14.74,29.28,11.59,0.52,5.76,26.72,15.6,60.9,2.7,0.03,57,Moderate
2018-06-11,2018,6,0,Monday,Dry,Bhunya,20.73,42.46,15.47,0.725,5.99,26.09,17.7,54.2,3.6,0.12,69,Moderate
2018-06-12,2018,6,1,Tuesday,Dry,Bhunya,20.33,43.58,16.92,0.727,6.99,28.24,14.2,44.6,2.9,0.08,68,Moderate
2018-06-13,2018,6,2,Wednesday,Dry,Bhunya,18.03,31.61,20.42,0.801,7.47,25.24,9.5,46.8,2.1,0.05,63,Moderate
2018-06-14,2018,6,3,Thursday,Dry,Bhunya,18.51,32.61,18.65,0.743,7.3,27.75,13.2,51.7,3.6,0.01,64,Moderate
2018-06-15,2018,6,4,Friday,Dry,Bhunya,17.1,31.48,19.83,0.649,7.01,30.75,22.8,43.3,2.8,0.01,62,Moderate
2018-06-16,2018,6,5,Saturday,Dry,Bhunya,14.84,27.58,11.38,0.497,6.4,26.93,11.4,51.5,3.3,0.04,57,Moderate
2018-06-17,2018,6,6,Sunday,Dry,Bhunya,17.8,31.89,11.23,0.571,5.53,27.09,20.9,38.5,2.7,0.02,63,Moderate
2018-06-18,2018,6,0,Monday,Dry,Bhunya,21.88,39.4,17.17,0.713,7.03,27.72,14.8,36.5,3.1,0.03,72,Moderate
2018-06-19,2018,6,1,Tuesday,Dry,Bhunya,20.61,37.93,16.82,0.737,6.59,26.27,20.4,49.1,3.2,0.04,69,Moderate
2018-06-20,2018,6,2,Wednesday,Dry,Bhunya,19.63,35.4,18.23,0.525,7.62,30.66,21.6,45.9,3.3,0.01,67,Moderate
2018-06-21,2018,6,3,Thursday,Dry,Bhunya,17.74,49.19,15.36,0.7,6.03,27.36,14.5,48.7,2.7,0.14,63,Moderate
2018-06-22,2018,6,4,Friday,Dry,Bhunya,21.21,38.92,18.22,0.729,5.51,27.08,14.5,40.4,3.3,0.21,70,Moderate
2018-06-23,2018,6,5,Saturday,Dry,Bhunya,17.6,34.22,14.64,0.453,4.88,30.86,16.0,39.5,2.4,0.04,63,Moderate
2018-06-24,2018,6,6,Sunday,Dry,Bhunya,15.48,30.67,13.86,0.571,5.89,29.46,16.4,48.1,3.9,0.02,58,Moderate
2018-06-25,2018,6,0,Monday,Dry,Bhunya,20.52,36.27,17.09,0.71,5.22,30.29,23.3,36.8,3.2,0.02,69,Moderate
2018-06-26,2018,6,1,Tuesday,Dry,Bhunya,21.9,40.24,15.91,0.665,8.53,27.78,20.3,69.5,2.5,0.0,72,Moderate
2018-06-27,2018,6,2,Wednesday,Dry,Bhunya,18.41,36.73,21.02,0.809,7.75,29.74,15.3,26.9,2.8,0.06,64,Moderate
2018-06-28,2018,6,3,Thursday,Dry,Bhunya,17.11,30.52,20.04,0.649,9.09,27.23,17.6,35.4,3.4,0.01,62,Moderate
2018-06-29,2018,6,4,Friday,Dry,Bhunya,19.28,33.58,18.56,0.68,7.87,28.36,19.2,24.4,2.0,0.02,66,Moderate
2018-06-30,2018,6,5,Saturday,Dry,Bhunya,14.45,26.94,16.21,0.531,3.65,26.45,14.4,46.6,3.4,0.02,56,Moderate
2018-07-01,2018,7,6,Sunday,Dry,Bhunya,12.98,42.94,12.41,0.548,6.13,25.07,14.5,38.8,1.7,0.09,53,Moderate
2018-07-02,2018,7,0,Monday,Dry,Bhunya,21.38,44.22,13.68,0.788,8.39,30.84,13.2,18.9,1.9,0.04,71,Moderate
